tweet,labels
"@DrTomFrieden @MackayIM The Moderna candidate has markedly more common acute side effects. I suspect it may be slightly more effective overall, over time, but there is essentially no difference in the short run.",side-effect ineffective
@muralipiyer Did you know about the adverse reaction before him going public? How was an adverse reaction to the same vaccine handled in the UK? Why shouldn't he sue? https://t.co/UZqxEuOCNV,side-effect
Pfizer will not summit the study for peer-review until they've completed their analysis of safety data. Let that sink in! The vaccine is approved and they have not finished analysing the data! https://t.co/EtL0EeeCtl,rushed
"@libbi815 The official statements are very careful to say ""after"" receiving the vaccine 1024 #Deaths from 225,871 #AstraZeneca adverse reaction Yellow Card reports, slowing because they withdrew the product for under 40s in May 2021.",side-effect
Do not take the #COVID vaccine without doing your own research. Don’t put something in your body because the government says to. Don’t allow them to make it mandatory. That’s called “tyranny”.,mandatory
@itComebackSZN @Vlad2d71828 @chrissaccoccia1 Look at the photo I posted from the vaccine suppliers? The government have been juicing up the covid death figures with the 30 day rule - meaning death totals from flu and pneumonia have collapsed. Yet they are trying to blame vax deaths on anything else! https://t.co/VSIjgYKgDt,side-effect
This will not end well. Despite Deadly Results the FDA will Fast Track Pfizer COVID Vaccine Approval by Early Sept. -- Will Allow States and Businesses to Begin their Forced Vaccinations https://t.co/7mDocTvtZT via @gatewaypundit,mandatory
CEO of Pfizer vaccine hasn't gotten his shot bc he's not a front line worker and in good health lol 😆 😉 🤣 https://t.co/QqmMlwpMVB,pharma
"@Bigly4Trump Just remember, it’s an experimental vaccine, only approved experimentally by FDA No accountability by government or industry if things go wrong",rushed
#BreakingNews Recap : The indefinite us of Covid #vaccines and Pfizer's get out of jail card regarding serious heart damage to #Children and other numerous side effects. https://t.co/ldMWXI8KAZ,side-effect
@NicoleB_MD @1989Eddy And she’s probably never studied a vaccine insert.,none
"@MattHancock How much have you wasted on unnecessary and inaccurate Covid testing? How much on ""vaccines"" for those in society that don't need them?",unnecessary
@RT_com Injecting a Russian vaccine is like depending on a Lada as your daily driver,country
I’m not completely opposed to the COVID vaccine but I am not gonna be part of the first group of people to take it🤷🏾‍♀️ I wanna see what happens months from now before I make an executive decision,rushed
@DrEricDing Given most Chinese are sticking to their 50% or so crappy vaccine it’s not all that surprising. Their vaccine is as bad a flu vaccine. Not like our vaccines.,ineffective country
"@euph0bic @SoulessSamurai @HotepJesus It's a common reaction to any needle or similar object being inserted into your body, it happens to me too If you think I'm defending the vaccine by saying this, you're wrong, I'm against it because long term effects are completely unknown + Pfizer CEO wont even take it",side-effect
@Buzzboy82048087 @paddington_v007 @MattHancock That pillock along with Ferguson and Vallance are trying to keep project fear going because they have invested millions to make billions from the shares they have in GSK & AstraZeneca. What about Matt how much will he make from the warp speed unnecessary vaccine?,pharma
"@nationalpost Do you know why ? Because when the so called vaccine turn out to be ineffective, fails much anticipated expectations or cause harm through side effects ; the firm’s stocks will collapse ! Plus , they are all doing it (check Pfizer insiders ) ...",ineffective side-effect pharma
@mbarmbarmbar @ABC7 I know of two cases myself one died three days later a senior and the second in Her 30s a few hours after receiving the vaccine was rushed to the ER Her Pulse 154 they had to give Her Nitro something is wrong with the Pfizer Vaccine .,side-effect ineffective
"@LPerrins I take real offence to this, I for one cannot take the vaccine for health reasons. Why should the like of us get discriminated against. Jabbed or not you can still catch and transmit the virus.",ineffective
@drcraigwax Except social media fanatics vehemently decree anyone an idiot if they don’t want the vaccine. Unfortunately- it’s a polarizing topic. As well as political. One’s own health should never be political.,political
"@realDonaldTrump @pfizer @US_FDA Don’t you get it? A vaccine was not going to help you win the election. Your incompetent response to COVID, among many other things lost you the office you should have never “won”. Bye.",political
@FireQuinito Then why are the Oxford vaccine being produced already even before the results of the phase 3 where there is no data of it.,rushed
@RosieBarton Someone tell @RosieBarton that Canada is a laughing stock when it comes to vaccinations and that Trudeau is responsible. Further will the CBC apologize to all those who will be infected and die because they weren’t vaccinated in a timely fashion? #cbcfail #TrudeauVaccineFailure,political
"@SKYRIDER4538 @drdavidsamadi @newsmax Just make it over the counter and let the adults decide if they want it or not. If you want vaccine get it. If you want hydroxy... Take it. My body, my choice or does that only apply to abortions! !",mandatory
@Telegraph @mattlynnwriter No point as many many people are not getting vaccinated by choice. Keep your passports its pointless & this planet continues to spin with or without you on it.,mandatory unnecessary
@KenRowe1023 @_Bill_ @erinbiba I don’t think people should take the Covid vaccine.  It would be so unfair to all the people who have already died.,none
@RollForSanity @richdavisphd @catherinemccoin too late! both girls are young women now. no vaccination under my watch. science lies for profits yet criminalizes prophets. the pattern is: CREATE THE PROBLEM THEN SELL THE CURE THAT CREATES MORE PROBLEMS! agenda1/2,conspiracy
Maybe people who can’t wait to get the vaccine should investigate what line of bull💩this company is trying to sell. No CEO would dump 62% of his stock if they created a miracle fix for the Rona🤥 Kinda makes you wonder about that flu shot too🤔 Big Pharma is €v!l😷🤥🙄 https://t.co/YLtE6tqFqS,pharma
@MattHancock @imperialcollege So the college that lied about the amount of deaths there would be from covid receives 40m so far in a search of a vaccine? We are having the piss taken out of us and you're not even trying to hide it. In fact I think you might be enjoying these silly games.,pharma
Not taking flu or China virus vaccine...done with vaccines after what I've been hearing.,country
"@RylandMedia @YellowCube7 @o_rips O yeah. 2 many still depend on #MSM & it's designed 2 deliberately lead ppl in2 the trap, using misinformation 2 maintain ignorance 2 elevate hysteria. Ppl not knowing any diff out of fear comply. How many r going 2 accept the #CovidVaccine w/o knowing its REAL purpose?",none
People die man scary sorry not me for that vaccine. Just to make money. All lie huh Financial Times: Vaccine deal allows AstraZeneca to make 20% above costs. https://t.co/GspLNO99b7 via @GoogleNews,side-effect pharma
@biswajeetdash I thought Astra Zeneca got notice in UK and got go ahead. I just don't want govts to make the vaccine compulsory.,mandatory
Which Vaccine is better? I heard Johnson&Johnson cause it has been tested against Covid’s cousins and only 1 shot. BUT I havent trusted J&J since that baby powder fiasco. I really dont wanna be watching tv in and I hear “if you or someone you know took the J&J vaccine...”,pharma
@thejournal_ie I'll be one of those who wait to see the dreadful side effects of a vaccine that was rushed in to make billions in revenue for Pfizer & maybe go with V2,side-effect
Still queuing up for the experimental stick in the arm? #Genocide 23 die in Norway after receiving Pfizer Covid-19 vaccine - New York Post https://t.co/NBXtqMXrs3,side-effect
@olgakhazan @AdamSerwer No vaccine program that creates and perpetuates racism and medical apartheid is a success. Period. It's not some side issue to give a nod to on the the way to praising the system. It means the system is a failure. Y'all really think dead Black people are no big deal,side-effect
@brontolousa @libertariancali did you notice that the pfizer EUA calls for study on Vaccine Enhanced Respiratory Disease and the Comirnaty License calls for years of study on peridcarditis and myocarditis side effects??? how can you give informed consent when the information is not available?,side-effect
@FoamingNonsense @Robertsixto2 I got a cold sore and a sty which I never get. Also have cutaneous mastocytosis flare pretty sure its from vaccine. Pfizer.,side-effect
"NUMBER 19 Mask to Cause illness and FEAR. Medical FACTS CONFIRM immune system gives 99.9 per cent recovery with Thousands of years Testing. Pfizer is NOT Proven and each year, virus MUTATES, so today's vaccine NO good next year. Any doctor NOT Pfizer rep WILL confirm. More",unnecessary
@ScottGottliebMD What about this Scott? How much money are you making with Pfizer vaccine? https://t.co/R53F4hkwYL,pharma
Because flu was conflated with Covid 18 in the world wide media scam and the CDC and other institutions have not isolated the C19 virus so there can be no vaccine- ONLY AN INJECTION!,none
"@B52Malmet No.oh, no..Trump has Moderna stock. It will be the vaccine he pushes.",political
Johnson & Johnson COVID-19 vaccine recipient in Nevada undergoes 3 brain surgeries following jab: report https://t.co/0fSjzw3jWy via @FromtheTrenches,side-effect
@mikegbaines It is not whether they work or dont work. It is about whether they are needed or not needed. I get why a polio vaccine was needed. I dont buy into the covid vaccine hysteria.,unnecessary
"As someone who grew up in Latvia, if I had to choose between catching the Rona or taking a hastily created, Russian vaccine, just shoot me straight up with that Covid.",country side-effect
"Future of AstraZeneca COVID-19 vaccine in question in Canada over blood clots, supply issues | CBC News https://t.co/x4ICdrESs3 trudeau said take what your given and every day we hear horror stories about vaccine . should we hold this dictator wannabe nutjob accountable ?",side-effect
"Johnson and Johnson is the last company I would trust to apply a vaccine to protect me from the covid virus, After the damage their baby powder cause to women I would never trust them again. Life is good The L",pharma
"@tmsz_nwk Since they started vaccinating, there are many times more people who are ill than before vaccination. The v@ccina.ed, not only those in care homes, get sick and go to hospital. Some die.The real plandemic ahead! Refuse to take a synthetic pathogen and the pandemic will END!",ingredients side-effect conspiracy
@USATODAY That vaccine killed 6 people and the news isnt reporting their deaths they not even saying what part of the vaccine killed the people #fakenews #Pfizer #Pfizervaccine,side-effect
"@Knightsatire I've Tweeted Pfizer asking them why no peer reviews, why insist governments indemnify them, why aren't they 100% backing their own products? No reply of course. More interested in quick, guaranteed, huge profit, than genuinely caring for peoples' health. No info & lots of rush!",pharma
@Breaking911 Good job curing sick people with new treatments is the way to go. Screw the vaccine its useless by the looks of it on older people.,unnecessary
"A 44 year old man died from Moderna vaccine. Asthmatic, otherwise healthy. First dose of AstraZenica caused anaphylaxis, therefor he got Moderna instead for the second dose. Tragic. https://t.co/f36A6FgqO1",side-effect
"CDC Experts Disagree With Pfizer on COVID Boosters, Threatening Pharma Giant’s Billion Dollar Revenue Stream • Children's Health Defense https://t.co/vALXYHyR3F",pharma
1/n I was speaking to an ex neighbor yesterday while the #AntiVaccine protest march was taking place @ Groote Schuur Hosp. He is a 68 year old man who was vaccinated X2 with the #Pfizer #vaccine who has been short of breath for a while @nicd_sa @HealthZA #VaccineRollOutSA,side-effect
"@morgicorgi @ashishkjha And stay home forever.  I ain't going out, even with a mask, with that vaccine.  To them a serious illness with long-term consequences is just fine.  I'd rather just end up dead, thanks.",side-effect
"@drdavidsamadi The over 65 flu vaccine 4 me was a disaster last September. Never had the flu so violent in my life. Like covid-19 . Targeted the wrong strain, but was told even if so, definitely would be less severe case. Losing faith in these vaccines. Took a flu shot for 25 years. Not now!",ineffective side-effect
"YIKES: Scottish Woman’s Face, Arms, Chest, Back, and Legs Erupt Into Agonising Red Rash After Getting AstraZeneca’s Covid Vaccine https://t.co/D5ecxiPagS",side-effect
@JoeTalkShow Covid-19 Vaccine - AstraZeneca. Look at the ingredients! Would you take this? Not me!!! https://t.co/xqJw0bXwmU,ingredients
@sailorrooscout So here in the UK we will be using Pfizer's vaccine. I'm not anti-vax by all means but whag does worry me is the UK has given Pfizer fully legal protection from lawsuits. Why would Pfizer need full legal protection if their vaccine works. https://t.co/Gwp4vDfLhU,pharma
@realDonaldTrump Just wait until this Russian vaccine is shown to not work.,ineffective
why everyday do you say @BorisJohnson @sajidjavid @nadhimzahawi the vaccine is helping if that is true why are there so many cases and today the highest death rate in months can you not look for a vaccine that will get rid of the virus with no transmission,ineffective
#Vaccine panic: Japan suspends Moderna batch after 'black particles' discovered in vials https://t.co/XGIJU4uf1C https://t.co/ixrun6jvkI,ingredients
"@NeilClark66 The leading company Moderna has never produced any approved drug ""EVER"" your bodies cells will be changed forever, think about that! If you have a weak immune system will you produce antibodies? Will you have a hyper inflammatory response? serious questions about this vaccine",side-effect
@Forbes My honest opinion is that vaccine is the cause of more disease and suffering than anything I could name... Dr. Henry R. Bybee,side-effect
"@catmomboymom I would rather take my chances and die of Covid than take one of those sketchy vaccines, especially Moderna which is in connection with Bill Gates. The vaccine is given in 2 does, 28 days apart? (Why 2 doses?) and is called mRNA-1273.",pharma
"@BorisJohnson Boris, PLEASE answer us all this, if previous covid measures ie, masks, social distancing, lockdowns etc could not prevent a ""second wave"", then why repeat them? & why should we trust a ""vaccine"" will work when govs previous measures have not & the flu ""vaccine"" has'nt either?",ineffective
@franks_lawyer @feeonline my data into Oxford’s covid calculator my probability of not needing hospitalisation is 99.92%: there are many more things that will put me in hospital b4 covid; so my individual decision 2 not take a new vaccine rolled out under emergency that is still in its long term trial 2/n,unnecessary rushed
"A vaccine with no pre-human trials or peer reviewed studies, was ordered by the UK government to the pharma Astra-Zeneca, that is making 1 billion doses of that "" vaccine "" that will be mandatory in Europe , the Americas and India . God help us to resist such a danger.",rushed
@Alicia_Smith19 @KassandraKitson Where is the data that there are no long term effects? I have multiple autoimmune diseases and meet 3 of the exclusion criteria for the COVID vaccine trials? How do you know the long-term effects on people with my medical conditions? Provide data.,side-effect
@BBCNews IF ITS NOT TRANSMITTED YOU DON'T NEED A VACCINE. A VACCINE IS THE INABILITY OF THE PUBLIC TO STOP TRANSMITTING IT. A VACCINE WON'T PREVENT TRANSMISSION LONG COVID WILL BE RIFE DISABILITY WILL ROCKET S T O P T R A N S M I S S I O N,unnecessary ineffective
"level of safety for the whole public. Pfizer and the other drug companies know this and have removed any liability off themselves for vaccine injury and fatalities with the Covid 19 vaccination. The main steam media is also not covering stories of incidences post vaccine,and...",side-effect
Australian health authorities announced their 1st death from blood clots in a recipient of AstraZeneca's Covid vaccine. Health experts say there is a likely link between the death of the 48-year-old woman & the shot. https://t.co/kQ0ERWoTMn,side-effect
@JuliaHB1 Boris Johnson has said today the vaccine will not stop Lockdowns. It was never about a virus Julia. That does not exist. That was the false flag.,political
@BorisJohnson_MP Trust me this will NEVER be over vaccine or no vaccine.,none
I’ll wait. I’m not going to be sacrificed on the altar of commerce just so AstraZeneca can rush it’s vaccine to market before trials are complete.,pharma rushed
"@KarelLogan35 @DVATW New may be ... But who brought it, pushed it.. See how American drug companies spreadvirus n come out with vaccines, doing exactly what chinese virus is doing... Bill gates owns all vaccine companies, all in the name of charity, westerners have used charity like nobody's business",pharma
"I certainly support the research and development of a vaccine, but the truth is, there is no other vaccine for any other coronavirus, including the most prevalent, the common cold. We need to beat COVID the old fashioned way: herd immunity. In fact, that's how it will die off.",unnecessary ineffective
"@ZekeEmanuel since the pres spent $2B for 2 companies to start production of a vaccine before testing is finished, and since the pres lies and hates to lose, I expect if there is any problem with the vaccine, he will lie about it. Faith in any trump supported vaccine is nil.",rushed political
"@Mountai61137001 Not only that....all these people probably have no good working immunsystems, so a vaccin like Pfizer might push them over the edge... No worries..The Killers will say: ""see New Strain of Covid or other virus"" so register: Dead of Covid! No Worries, their lives did not matter....",conspiracy pharma
"@richardursomd This was predicted at the beginning of last year via the paper on military personnel, showing they were more susceptible to more severe symptoms of coronavirus after the flu vaccine. It was quickly ""hushed up"" via ""fact check"". Can't remember how they re-explained it",side-effect
"Read the reports on front  https://t.co/lV1eDkkvEF educate yourself about the virus and about how we have been duped so you can make a wise decision for yourself. Decision about the vaccine is your personal responsibility not ur governments they won’t back anything, cant sue maker",side-effect
CDC: Almost 400 reports of heart inflammation in children after Pfizer's Covid-19 vaccine - https://t.co/Qtrk94xmHo,side-effect
"Johnson & Johnson vaccine should be paused in U.S. after 'extremely rare' blood clots, FDA and CDC say Some 6.8 million have received the vaccine in the United States. Of these six have experienced the clot, the FDA and CDC said. https://t.co/fnyuOfQvsE",side-effect
@RealJamesWoods Riddle me this as a man under 50 I have a 0.03% of severe sickness or death from covid. Pfizer vaccine has a .05% severe adverse reaction or death and a 0.05% zero help. That's 1.1% vs my 0.03%? Why would I take it,side-effect unnecessary
"1. The entire program is a disaster. 2. They are still promoting the Chinese vaccine...which basically DOES NOT WORK. 3. Without leadership from Biden and the US, not much the rest of the world will do. https://t.co/gFyc4W7v51",country ineffective
"@tesssummers98 Sorry… Forgot to add govt expecting Deluge of adverse reactions to the vaccine, so seeking software companies to tender.Funny as Bozo Johnson failed to mention this in this weeks briefing,stating there were no reasons not to have the vaccine. Wanker. RT! https://t.co/Klc1Pcp4YP https://t.co/Inpb2IHqsU",side-effect political
@Joydas Modi is like Boris Johnson. They both rushed the vaccine approval for political reasons. https://t.co/7QutcLV7eS,rushed political
"@VacZineAnalytic @andrew_croxford I'm wondering how many 'experts' engaged, in a respectful, non-dismissive way with those expressing fears about vaccine side effects ... Telling people they're idiots because they're not 'following the science' doesn't necessarily qualify as far as I'm concerned.",side-effect
"@mitchellvii Corona virus= the cold, so why the big deal...there's a global campaign going now, funded mainly by this evil Bill Gates throwing billions to promote this and force vaccines on the populous....please wake up !! https://t.co/wl8fdJbzAv https://t.co/OtfhnsKmT7",mandatory
"@JT375043170 @Moorkopje2 @1ThessCh5 Oh I totally believe Gates is in on this. I do use DuckDuckGo, and I’m against the vaccine, due to the possibility of severing our God-given DNA... so I guess for religious reasons you can say. But curious as to why  surgeons don’t get sick. I just have lots of questions.",religious pharma
"@esseeeayeenn @jafabean1 @DaveTaylorNews @LucyTurnbull_AO @abcnews First, this is an early hypothesis based on early data - certainly not yet a fact. Second, we do know that a vaccinated nurse’s sister has become infected sooooo...",side-effect
"@justymull @damienwlr @wlrfm That makes no sense in relation to this! If this vaccine was to stop me getting Covid and stop mé spreading it, then I would consider getting it. But when 99% of people are fine with it I'm happy that I would be too and see no point putting a rushed vaccine into my body!",unnecessary rushed
"Why you shouldn’t believe the COVID vaccine is effective (21.12.20)  https://t.co/eXjfMjXeqX ""Confronting Pandemic Influenza : ""Just Don’t Let It Start in the first place"" - the ""Proactive Strategy"" and NOT the ""Reactive Vaccine Strategy"" -  https://t.co/wEicLCGuN4",ineffective
@WalthamLouise @2xDutch31 Nobody should be masking or 'testing children' for #covid unless very ill. They have 0.00005% risk from it. Concentrate on getting vulnerable & high risk 'vaccinated' (2Doses). +99% will recover & build natural immunity. 'Cases' data is propaganda. #NoMasksInClassor,unnecessary conspiracy
@WhiteHouse @realDonaldTrump Safe? The trials for the pfizer vax won't be completed for 2 years,rushed
@Pfizer_UK For a flu with a 95-99 % survival rate NEVER! Wake up people!  https://t.co/oxpjm3sWQX,unnecessary
Astra Zeneca paused phase three (abbreviated) trials because of an “unexplained illness!” Still want to queue up for yours?🙀,side-effect
"@FoxBusiness @FoxNews Any vaccine that hits,Dr Gates sees $$$$$$!$$$$!$$$$$$$$$, he's funded almost every Big Pharma in the Universe, if I didn't know better, one might think he almost knew something big was in the works before the Covid 19 came around!!!!",pharma
@nytimes Yeah I don't think so.... @Novavax following the gates Foundation..,none
"People tell me to forget the past and move on. Should I forget the Holocaust too? Because the world govts is using Pfizer to roll out a vax that will control us all, like Nazis.""Forget the past and move on"" is programmed by brainwashing. Is TYRANNY and I WILL NOT. WAKE UP PEOPLE",political
"Coronavirus vaccine in UK in SIX WEEKS: Best scenario now mid-October as testing ramped up https://t.co/YIEUP66Vrx THEY WILL FORCE 🤬every student to take a vaccine they don’t need, or won’t be allowed to attend university. 🤬🤬Say No..",mandatory
@Chill__Lovings @WDRBNews Do u even realize that Fauci’s NIH gave 3.7 million dollars to the wuhan lab in 2015 to research coronavirus. Wake up man. Look who has patents filed on the moderna vaccine. Go do some research and wake up to the fact your are being played,country
@HRC @PPHRtweets while uk people are at home people under smokescreen of corona virus and lockdown uk corrupt gov changed the 1984 control of disease act meaning it takes away peoples rights can force them to have a vaccine even take away their property this is tyranny https://t.co/5KLReIsz3Z,mandatory
@moomins_bff Lemme ruin the day more by saying sinovac vaccine hasn't been tested its efficacy on corona yet Indo gov already buying a ton of it. https://t.co/KM53YySoQg,rushed
Im not getting the vaccine cause the needle is pointy and hurts https://t.co/3uz69N9cln,none
Anyone notice that's it the rich and affluent that are telling us to get the vaccine ? Just an observation.,none
@IanRCrane Would like to get these hashtags going #VaccinesKill #Billgatesmurderer,side-effect
"@SeanCollins66 Don’t think there will actually be a vaccine, they’ve not managed a vaccine for any Corona virus yet!",ineffective
Hematologists seem to be gaining confidence in asserting that @AstraZeneca's COVID vax may induce a rare and dangerous clotting disorder in something like 1 in 25K vax recipients under 65. Good summary here at Science https://t.co/Hm5U1VxlIV,side-effect
"Governments across the globe are about to turn every man, woman and child into a eugenics experiment, the likes of which Mengele and Hitler would envy. Birth control pills, MAiD, and abortions didn't cut it. Do NOT take the vaccine at any cost. #PfizerVaccine #CovidVaccine",conspiracy
"@BorisJohnson No matter what you do, @BorisJohnson will frig the stats so we have another lockdown and then force Bill Gates' vaccine on you. All part of ID2020 & 1 world government. This bozo can't even stop migrants being ferried from France. What makes you think he wants to protect the UK?",mandatory conspiracy
@NVICLoeDown Desperate public? Or people daily bombarded by the media that they won't get their life back unless they succumb to a vaccine? There's a difference between 'desperation' and 'coercion'. https://t.co/1b1Ds9gX3E,mandatory
"Nurse FAINTS moments after receiving coronavirus jab in another flop for confidence-building PR drive (VIDEO) A nurse at a Tennessee hospital collapsed soon after taking a dose of Pfizer’s coronavirus vaccine. Though she recovered moments later, the mis… https://t.co/6YwNn1TGWE https://t.co/024lxuKh4B",side-effect
"Gates-Funded Vaccine Causes Polio Outbreak In Sudan & More Evidence Of Moderna's COVID Foreknowledge Welcome to The Daily Wrap Up, a concise show dedicated to bringing you the most relevant independent news, as we see it, from the last 24 hours. ***Due … https://t.co/1rGjA5gqS0",side-effect
"@PresidencyZA @CyrilRamaphosa Ramaphosa he is totally responsible for everything, whether Corona is in the vaccines or airborne, he is responsible, he is part of whatever the agenda is. The day Ramaphosa was parachuted into the presidency via the billion Rand backdoor, that was the beginning of our problems.",political
"The fine print is that historically, simply injecting viral proteins into humans has not created an antibody response robust enough to protect against viruses. So ,adjuvants, like aluminum an fetal cell lines were added to create a more robust immune system response #CovidVaccine https://t.co/oDFHLnAQyV",ingredients ineffective
"clots in patients who received the vaccine, including at least one case in Denmark where the patient died. More countries have followed Denmark by suspending approval of the AstraZeneca-Oxford COVID vaccine. Switzerland, Austria, Iceland, Norway, Denmark, Estonia, Lithuania, -",side-effect
"17-Year-Old Develops Multisystem Inflammatory Syndrome and Myocarditis After Pfizer Vaccine, Report Shows • Children's Health Defense https://t.co/XMeGpoq9zR",side-effect
"@JamesFarge @e_lernplattform @DHSCgovuk @Jochurchill4 @MHRAgovuk @pfizer @BioNTech_Group Errm, human life is a natural biological process, whereas mRNA is artificially produced in a lab? We have NO idea how fake RNA will affect people - unless you have access to the 2 year, 5 year & 10 year long-term effects studies? That’ll be a no then - as there aren’t any!",side-effect
Imagine what would happen to their shares if they gave the vaccine to the people.. #dieforthedow Moderna shares jump as much as 16% after company says its coronavirus vaccine trial produced ‘robust’ immune response https://t.co/AVOH61KKDk,conspiracy
"@BarackObama We still don't have a good vaccine for the flu. But, strange this year, that we don't have any flu deaths. I guess rhey are counted as covid, like everything else. You crooks don't fool us!",conspiracy ineffective
@imgrund I'm leery of the Moderna one for obvious reasons.,pharma
@hey_buddy405 Did you see the story about a bunch of people getting COVID after their first vaccine dose in the UK? I worry about that strategy.,ineffective
"@AMPFEST_USA @willsommer I wasn’t anti-vaccine until they started talking about making this bastardized covid vaccine mandatory, never had to think about it before. Feel free to add me to both “not-so-conspiracy” lists. 😉   #WWG1WGAWORLDWIDE",mandatory
@chipfranklin I don’t want the Pfizer vaccine. Let them have it. Hold out for Moderna vaccine- great for elderly.,pharma
"This Could Be the Ace in the Hole for Johnson & Johnson's COVID-19 Vaccine https://t.co/GAiTzGeYv4 J&J hid baby powder cancer connection for decades but we should trust them now for liability free, never before used, self tested vax? You first, #VaccinesWork",rushed pharma
"...get Covid from the vaccine think??  My mom is diabetic, and Covid is supposed to be worse on diabetics.  I said last week maybe Covid from the shot.  Today I'm feeling lousy.  Maybe caught off her??  I think he should've done another Covid test today.",side-effect
"See the heading ""NZ reported its first death linked to Pfizer’s vaccine after a woman suffered myocarditis, .. a known rare side effect of the vaccine. Health officials there said other factors could have contributed to her death"" Vax - other factors PCR +ve - sorry, Cov2 https://t.co/9nK1ohgZG6",side-effect
"@PfizerCareers "". that change patients lives.' Really ? Ok, then publish all your toxicological data about your #COVID19 #vaccine ‼ (including accumulation of mRNA-LNP in ovarian tissue).",ingredients
It turns out the annual flu shots didn’t eradicate nor stop influenza deaths ... why is it we think the covid vaccine will eradicate covid and stop covid deaths ...,ineffective
Covid 19 hasn't killed anybody because it's a hoax. But Bill Gates covid vaccine is real and has killed everyone injected with it.,side-effect
"@AP .3 of a percent to date have died of covid 19, run aNd get that vaccine. Go and add the percentage of heart disease, cancer and my god the average absence of Influenza.",side-effect
Yall know this was a plot to raise the covid numbers to force vaccines and track and trace.. they use our emotions to move their ball that's why they sent their kids to undermine the cause!!,mandatory
"@CDU @n_roettgen The corona vaccine is more destructive than Corona!Six dies inPfizer Corona vaccine trial Six people died after receiving a test vaccine produced by American pharmaceutical company Pfizer and German company Bayon-Tech,according toUS Food+Drug Administration.They lost themselves.",rushed
Thanx for allowing me to exercise my Right to Refuse a COVID Vaccine Now I’ll pay my taxes and Vote,none
"Second AstraZeneca volunteer reportedly suffers rare neurological condition, but UK company says it’s not related to vaccine – 2020: The Year Governments Killed Hundreds of Thousands of Their Own People – This Is All A Psy-Op (David Icke) https://t.co/OSFrT3CNcr",side-effect
@ShepardAmbellas I am interested in the vax that used to be ChAdCx1 nCoV-19 but now is AZD1222. Developed by Oxford licensed thru British Astra Zeneca. 400 million does for US then 1 billion. Starts in Sept. Company admits it will cause more deaths than actual CoV.19. Why change name/no trials?,side-effect
"@VwongVincent The entire vaccine agenda is to implement the Beast Technology.  https://t.co/3eU6OUxDUe  COVID-19 vaccination: to give every human on 🌍 a quantum dot micro needles mark ID2020, & a human implantable device for buying & selling cryptocurrency with a patent number of #060606.",conspiracy ingredients
"@AndyBird21 People class Johnson as incompetent. What they dont understand is what his aim is. He's proving very competent at fooling the gullible UK masses. How clever, sincerely, to release news of a new strain of covid, just as you've released a potentially deadly vaccine to the masses.",political conspiracy
If you actually survive the vaccine that is.  https://t.co/iNhrgQIteN,side-effect
"@augustus_divus @HoarseWisperer Please don't be so harsh. I vaccinated my children but one of them had severe allergic reactions to a vaccine ingredient.  If he has children, should he be forced to vaccinate them even at the risk of his children having a similar life-threatening reaction?",side-effect ingredients mandatory
@Leviticus19_18 >create superbug >create vaccine >vaccinate anyone with a social credit score over 800 >unleash superbug https://t.co/T5EYEV0qCe,conspiracy
@globaltimesnews China's vaccine is very dangerous it has been banned in many south American countries. Chinese vaccine is spreading more Corona virus in people who is taking Chinese vaccine. Please take care of your family. https://t.co/21l9QCOPWB,country ineffective
"@johngounaris @ACommonDescent @Tom27398793 @devisridhar Absolutely, Ioannis. It will not happen until there is a sterilising vaccine. apparently the Novamax vaccine might be so, but who knows anything at this stage. Zero covid is a seductive strategy but misguided. A Tory government would never go down that route anyway.",rushed
"@thegregorycole you worried about the side effects for a untested gene therapy .. btw you do know its not acutely a vaccine right , im sure you did your research before no one would be that silly not to check then tell others to get it right , https://t.co/TL0H7Ax37v",side-effect conspiracy rushed
@coblovecobmum @itvnews It has been said many times but MSM implied vaccine gives total protection so everyone believes it is without checking for themselves. Crazy.,side-effect
"Why are you not being truthful @BBCnews? The 66% effectiveness of the Oxford AZ vaccine against the ""Indian variant"", announced by PHE last night, is not ""highly effective"". Nor is the 33% effectiveness of one dose of either vaccine. Stop being a government mouthpiece. #vaccines",ineffective
"@MattHancock @MHRAgovuk @UniofOxford @AstraZeneca For a virus that the majority of the population have statistically ZERO chance of catching? For a virus that, even if carrying it, has almost ZERO chance of contagion? For a virus that's been massively overstated due to bad data & false test results? Swine Flu all over again...",rushed
"@hartgroup_org Covid Downgraded from High Infectious Disease back in March 2020, PCR Tests that don’t pick up infectious viruses (currently flu season or flu jab symptoms will show as positive) Vaccine that don’t protect you or anyone else, Witty £60k shares on Pfizer, So many faults 🤷‍♂️",ineffective
More people are dying after takings these corona jabs .. I heard you can’t travel without a jab or go to a club😬what’s your thoughts on the vaccine ?? 🐾,mandatory
"@sanofi @Regeneron Why would we trust #Sanofi? 75,000 doses of Sanofi Pasteur #flu vaccine from batch containing impurities have been used in Hong Kong https://t.co/oGud8KxPs6",ingredients
The vaccine wasn’t created for covid... covid was created for the vaccine....,conspiracy
"“Organisations invested in vaccines make money from vaccines. People who acquire natural immunity have less/no need for a vaccine. If people are locked in their homes, they have less chance of acquiring natural immunity.” #vaccine #SAGE #COVID #Pfizer https://t.co/SKMegyUF3b",pharma unnecessary
